Number of unique subjects: 22225,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33],[34]
[0] http://purl.org/dc/elements/1.1/contributor,6350,-,0,0,0,3175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3175,0,0,0,3175,3175,0,0,3175,0
[1] http://purl.org/dc/elements/1.1/creator,6350,-,-,3170,3175,0,0,3175,3175,3175,3175,3175,3175,3175,3175,0,3175,0,3175,3175,0,0,3175,0,0,3175,0,3175,3175,3175,6350,0,3175,0,0,0
[2] http://purl.org/dc/elements/1.1/description,3170,-,-,-,3170,0,0,3170,3170,3170,3170,3170,3170,0,0,0,0,0,0,0,0,0,3170,0,0,0,0,0,3170,3170,3170,0,0,0,0,0
[3] http://purl.org/dc/elements/1.1/identifier,3175,-,-,-,-,0,0,3175,3175,3175,3175,3175,3175,0,0,0,0,0,0,0,0,0,3175,0,0,0,0,0,3175,3175,3175,0,0,0,0,0
[4] http://purl.org/dc/elements/1.1/publisher,3175,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3175,0,0,0,3175,3175,0,0,3175,0
[5] http://purl.org/dc/elements/1.1/rights,3175,-,-,-,-,-,-,0,0,0,0,0,0,3175,0,3175,0,3175,0,0,3175,3175,0,3175,0,0,0,0,0,0,3175,0,0,0,0,0
[6] http://purl.org/dc/elements/1.1/source,3175,-,-,-,-,-,-,-,3175,3175,3175,3175,3175,0,0,0,0,0,0,0,0,0,3175,0,0,0,0,0,3175,3175,3175,0,0,0,0,0
[7] http://purl.org/dc/elements/1.1/subject,3175,-,-,-,-,-,-,-,-,3175,3175,3175,3175,0,0,0,0,0,0,0,0,0,3175,0,0,0,0,0,3175,3175,3175,0,0,0,0,0
[8] http://purl.org/dc/elements/1.1/title,3175,-,-,-,-,-,-,-,-,-,3175,3175,3175,0,0,0,0,0,0,0,0,0,3175,0,0,0,0,0,3175,3175,3175,0,0,0,0,0
[9] http://purl.org/dc/elements/1.1/type,3175,-,-,-,-,-,-,-,-,-,-,3175,3175,0,0,0,0,0,0,0,0,0,3175,0,0,0,0,0,3175,3175,3175,0,0,0,0,0
[10] http://purl.org/dc/terms/alternative,3175,-,-,-,-,-,-,-,-,-,-,-,3175,0,0,0,0,0,0,0,0,0,3175,0,0,0,0,0,3175,3175,3175,0,0,0,0,0
[11] http://purl.org/dc/terms/issued,3175,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,3175,0,0,0,0,0,3175,3175,3175,0,0,0,0,0
[12] http://www.europeana.eu/schemas/edm/aggregatedCHO,6350,-,-,-,-,-,-,-,-,-,-,-,-,-,3175,3175,3175,3175,3175,3175,3175,3175,0,3175,0,3175,0,3175,0,0,6350,0,3175,0,0,0
[13] http://www.europeana.eu/schemas/edm/country,3175,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3175,0,3175,3175,0,0,0,0,0,3175,0,3175,0,0,3175,0,3175,0,0,0
[14] http://www.europeana.eu/schemas/edm/dataProvider,3175,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3175,0,0,3175,3175,0,3175,0,0,0,0,0,0,3175,0,0,0,0,0
[15] http://www.europeana.eu/schemas/edm/hasView,3175,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3175,3175,0,0,0,0,0,3175,0,3175,0,0,3175,0,3175,0,0,0
[16] http://www.europeana.eu/schemas/edm/isShownAt,3175,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,3175,3175,0,3175,0,0,0,0,0,0,3175,0,0,0,0,0
[17] http://www.europeana.eu/schemas/edm/landingPage,3175,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3175,0,0,0,0,0,3175,0,3175,0,0,3175,0,3175,0,0,0
[18] http://www.europeana.eu/schemas/edm/language,3175,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,3175,0,3175,0,0,3175,0,3175,0,0,0
[19] http://www.europeana.eu/schemas/edm/object,3175,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3175,0,3175,0,0,0,0,0,0,3175,0,0,0,0,0
[20] http://www.europeana.eu/schemas/edm/provider,3175,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3175,0,0,0,0,0,0,3175,0,0,0,0,0
[21] http://www.europeana.eu/schemas/edm/type,3175,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,3175,3175,3175,0,0,0,0,0
[22] http://www.europeana.eu/schemas/edm/unstored,3175,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,3175,0,0,0,0,0
[23] http://www.europeana.eu/schemas/edm/year,3175,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,3175,3175,3175,0,0,0,0,0
[24] http://www.openarchives.org/ore/terms/aggregates,3175,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3175,0,0,3175,0,3175,0,0,0
[25] http://www.openarchives.org/ore/terms/describes,3175,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,3175,3175,0,0,3175,0
[26] http://www.openarchives.org/ore/terms/isDescribedBy,3175,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,3175,0,3175,0,0,0
[27] http://www.openarchives.org/ore/terms/proxyFor,6350,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6350,6350,0,0,0,0,0
[28] http://www.openarchives.org/ore/terms/proxyIn,6350,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6350,0,0,0,0,0
[29] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,19050,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3175,3175,3175,3175,0
[30] http://www.w3.org/1999/xhtml/vocab#license,3175,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,3175,0
[31] http://xmlns.com/foaf/0.1/depiction,3175,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0
[32] http://xmlns.com/foaf/0.1/isPrimaryTopicOf,6350,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0
[33] http://xmlns.com/foaf/0.1/primaryTopic,3175,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
[34] http://xmlns.com/foaf/0.1/thumbnail,3175,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
