Number of unique subjects: 5,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14]
[0] http://purl.org/dc/terms/accrualPeriodicity,1,-,1,1,1,1,1,1,0,0,0,1,1,0,0,1
[1] http://purl.org/dc/terms/identifier,1,-,-,1,1,1,1,1,0,0,0,1,1,0,0,1
[2] http://purl.org/dc/terms/language,2,-,-,-,1,1,1,1,0,0,0,1,1,0,0,1
[3] http://purl.org/dc/terms/publisher,1,-,-,-,-,1,1,1,0,0,0,1,1,0,0,1
[4] http://purl.org/dc/terms/rights,1,-,-,-,-,-,1,1,0,0,0,1,1,0,0,1
[5] http://purl.org/dc/terms/spatial,4,-,-,-,-,-,-,1,0,0,0,1,1,0,0,1
[6] http://purl.org/dc/terms/subject,11,-,-,-,-,-,-,-,1,1,1,1,2,1,1,1
[7] http://rdfs.org/ns/void#linkPredicate,1,-,-,-,-,-,-,-,-,1,1,0,1,1,1,0
[8] http://rdfs.org/ns/void#objectsTarget,1,-,-,-,-,-,-,-,-,-,1,0,1,1,1,0
[9] http://rdfs.org/ns/void#subjectsTarget,1,-,-,-,-,-,-,-,-,-,-,0,1,1,1,0
[10] http://rdfs.org/ns/void#subset,1,-,-,-,-,-,-,-,-,-,-,-,1,0,0,1
[11] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,5,-,-,-,-,-,-,-,-,-,-,-,-,3,3,2
[12] http://www.w3.org/2000/01/rdf-schema#comment,6,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1
[13] http://www.w3.org/2000/01/rdf-schema#label,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
[14] http://xmlns.com/foaf/0.1/homepage,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
