Number of unique subjects: 551,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23]
[0] http://purl.org/dc/elements/1.1/creator,3,-,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
[1] http://purl.org/dc/elements/1.1/description,3,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
[2] http://purl.org/dc/elements/1.1/title,3,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
[3] http://www.aktors.org/ontology/portal#address-city-or-village,2,-,-,-,-,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
[4] http://www.aktors.org/ontology/portal#address-postcode,2,-,-,-,-,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
[5] http://www.aktors.org/ontology/portal#address-pretty-label,2,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
[6] http://www.aktors.org/ontology/portal#family-name,521,-,-,-,-,-,-,-,518,518,518,518,2,149,518,518,365,518,0,0,0,518,0,0,518
[7] http://www.aktors.org/ontology/portal#full-name,523,-,-,-,-,-,-,-,-,518,518,518,2,149,518,518,365,518,0,0,0,518,0,0,518
[8] http://www.aktors.org/ontology/portal#given-name,523,-,-,-,-,-,-,-,-,-,518,518,2,149,518,518,365,518,0,0,0,518,0,0,518
[9] http://www.aktors.org/ontology/portal#has-affiliation,1557,-,-,-,-,-,-,-,-,-,-,518,2,149,518,518,365,518,0,0,0,518,0,0,518
[10] http://www.aktors.org/ontology/portal#has-affiliation-to-unit,521,-,-,-,-,-,-,-,-,-,-,-,2,149,518,518,365,518,0,0,0,518,0,0,518
[11] http://www.aktors.org/ontology/portal#has-appelation,2,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,0,0,0,2,0,0,2
[12] http://www.aktors.org/ontology/portal#has-appellation,151,-,-,-,-,-,-,-,-,-,-,-,-,-,149,149,139,149,0,0,0,149,0,0,149
[13] http://www.aktors.org/ontology/portal#has-email-address,525,-,-,-,-,-,-,-,-,-,-,-,-,-,-,518,365,518,0,0,0,518,0,0,518
[14] http://www.aktors.org/ontology/portal#has-postal-address,548,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,365,547,28,29,30,548,0,0,518
[15] http://www.aktors.org/ontology/portal#has-telephone-number,369,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,365,0,0,0,365,0,0,365
[16] http://www.aktors.org/ontology/portal#has-web-address,553,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,28,29,547,0,0,518
[17] http://www.aktors.org/ontology/portal#sub-unit-of-organization,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28,28,28,0,0,0
[18] http://www.aktors.org/ontology/portal#unit-of-organization,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29,29,0,0,0
[19] http://www.aktors.org/ontology/support#has-pretty-name,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,0,0,0
[20] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,553,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,518
[21] http://www.w3.org/2000/01/rdf-schema#label,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0
[22] http://www.w3.org/2002/07/owl#imports,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
[23] http://www.w3.org/2002/07/owl#sameAs,523,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
