Number of unique subjects: 306,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26]
[0] http://data.ordnancesurvey.co.uk/ontology/spatialrelations/within,100,-,0,100,100,0,0,0,0,0,0,0,0,99,0,0,0,0,0,100,100,0,0,0,0,0,0,0
[1] http://id.southampton.ac.uk/ns/processIncludedFile,5,-,-,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,1
[2] http://id.southampton.ac.uk/ns/vendingMachineModel,110,-,-,-,110,0,0,0,0,0,0,0,0,109,0,0,0,0,0,110,110,0,0,0,0,0,0,0
[3] http://id.southampton.ac.uk/ns/vendingMachineType,110,-,-,-,-,0,0,0,0,0,0,0,0,109,0,0,0,0,0,110,110,0,0,0,0,0,0,0
[4] http://purl.org/dc/terms/conformsTo,2,-,-,-,-,-,2,2,2,2,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0
[5] http://purl.org/dc/terms/description,2,-,-,-,-,-,-,2,2,2,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0
[6] http://purl.org/dc/terms/isPartOf,2,-,-,-,-,-,-,-,2,2,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0
[7] http://purl.org/dc/terms/license,2,-,-,-,-,-,-,-,-,2,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0
[8] http://purl.org/dc/terms/publisher,2,-,-,-,-,-,-,-,-,-,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0
[9] http://purl.org/dc/terms/title,2,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0
[10] http://purl.org/goodrelations/v1#availableAtOrFrom,180,-,-,-,-,-,-,-,-,-,-,-,180,0,0,0,0,0,0,180,180,0,0,0,0,0,0,0
[11] http://purl.org/goodrelations/v1#includes,180,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,180,180,0,0,0,0,0,0,0
[12] http://purl.org/openorg/mapIcon,109,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,109,109,0,0,0,0,0,0,0
[13] http://purl.org/void/provenance/ns/processType,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,0,0,2,0,2,2,2,2,0,2,2
[14] http://purl.org/void/provenance/ns/resultingDataset,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,0,0,2,0,2,2,2,2,0,2,2
[15] http://purl.org/void/provenance/ns/sourceDataset,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,2,0,2,2,2,2,0,2,2
[16] http://rdfs.org/ns/void#sparqlEndpoint,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,0,0,0,0,0,2,0,0
[17] http://rdfs.org/ns/void#triples,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
[18] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,308,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,294,2,2,2,2,2,2,2
[19] http://www.w3.org/2000/01/rdf-schema#label,295,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0
[20] http://www.w3.org/2006/time#hasBeginning,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,0,2,2
[21] http://www.w3.org/2006/time#hasEnd,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,0,2,2
[22] http://www.w3.org/ns/prov#endedAtTime,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,0,2,2
[23] http://www.w3.org/ns/prov#generated,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,2
[24] http://www.w3.org/ns/prov#hadPrimarySource,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0
[25] http://www.w3.org/ns/prov#startedAtTime,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
[26] http://www.w3.org/ns/prov#used,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
