Number of unique subjects: 28627,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22]
[0] http://purl.org/dc/elements/1.1/creator,2,-,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
[1] http://purl.org/vocab/vann/preferredNamespacePrefix,1,-,-,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
[2] http://purl.org/vocab/vann/preferredNamespaceUri,1,-,-,-,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
[3] http://www.w3.org/1999/02/22-rdf-syntax-ns#first,612,-,-,-,-,612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[4] http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,612,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[5] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,102146,-,-,-,-,-,-,1,37,36,27911,37,1,29,1,1,1,30,1,20504,22758,24505,6757,27052
[6] http://www.w3.org/2000/01/rdf-schema#comment,1,-,-,-,-,-,-,-,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
[7] http://www.w3.org/2000/01/rdf-schema#domain,37,-,-,-,-,-,-,-,-,36,0,37,0,0,0,1,0,0,0,0,0,36,0,36
[8] http://www.w3.org/2000/01/rdf-schema#range,36,-,-,-,-,-,-,-,-,-,0,36,0,0,0,1,0,0,0,0,0,35,0,35
[9] http://www.w3.org/2000/01/rdf-schema#subClassOf,63130,-,-,-,-,-,-,-,-,-,-,0,0,29,0,0,0,0,0,20504,22754,24455,6756,27001
[10] http://www.w3.org/2000/01/rdf-schema#subPropertyOf,37,-,-,-,-,-,-,-,-,-,-,-,0,0,0,1,0,0,0,0,0,36,0,36
[11] http://www.w3.org/2002/07/owl#allValuesFrom,1,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,1,0,0,0,0,0,0,0
[12] http://www.w3.org/2002/07/owl#disjointWith,29,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,28,0,29
[13] http://www.w3.org/2002/07/owl#imports,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,1,0,0,1,0,1
[14] http://www.w3.org/2002/07/owl#inverseOf,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,0,1
[15] http://www.w3.org/2002/07/owl#onProperty,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0
[16] http://www.w3.org/2002/07/owl#unionOf,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0
[17] http://www.w3.org/2002/07/owl#versionIRI,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,0,1
[18] http://www.w3.org/2004/02/skos/core#altLabel,63841,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18561,18868,5705,20504
[19] http://www.w3.org/2004/02/skos/core#broaderTransitive,36172,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20898,6490,22754
[20] http://www.w3.org/2004/02/skos/core#definition,24505,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6618,24505
[21] http://www.w3.org/2004/02/skos/core#narrowerTransitive,36172,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6756
[22] http://www.w3.org/2004/02/skos/core#prefLabel,27054,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
