Number of unique subjects: 8,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15]
[0] http://creativecommons.org/ns#license,7,-,7,7,3,3,5,7,7,5,2,2,7,3,0,2,0
[1] http://creativecommons.org/ns#morePermissions,7,-,-,7,3,3,5,7,7,5,2,2,7,3,0,2,0
[2] http://purl.org/dc/terms/creator,7,-,-,-,3,3,5,7,7,5,2,2,7,3,0,2,0
[3] http://purl.org/dc/terms/date,3,-,-,-,-,3,3,3,3,3,1,1,3,3,0,1,0
[4] http://purl.org/dc/terms/description,3,-,-,-,-,-,3,3,3,3,1,1,3,3,0,1,0
[5] http://purl.org/dc/terms/subject,6,-,-,-,-,-,-,5,5,4,2,1,5,3,0,2,0
[6] http://purl.org/dc/terms/title,7,-,-,-,-,-,-,-,7,5,2,2,7,3,0,2,0
[7] http://rdfs.org/ns/void#dataDump,7,-,-,-,-,-,-,-,-,5,2,2,7,3,0,2,0
[8] http://rdfs.org/ns/void#exampleResource,8,-,-,-,-,-,-,-,-,-,2,1,5,3,0,1,0
[9] http://rdfs.org/ns/void#subset,3,-,-,-,-,-,-,-,-,-,-,0,2,1,0,0,0
[10] http://rdfs.org/ns/void#target,4,-,-,-,-,-,-,-,-,-,-,-,2,1,0,0,0
[11] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,8,-,-,-,-,-,-,-,-,-,-,-,-,3,1,3,1
[12] http://www.w3.org/2000/01/rdf-schema#seeAlso,3,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,0
[13] http://www.w3.org/2002/07/owl#sameAs,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1
[14] http://xmlns.com/foaf/0.1/homepage,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
[15] http://xmlns.com/foaf/0.1/name,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
