Number of unique subjects: 2009,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14]
[0] http://creativecommons.org/ns#license,1,-,1,0,0,0,0,0,1,1,1,1,1,0,1,1
[1] http://creativecommons.org/ns#morePermissions,1,-,-,0,0,0,0,0,1,1,1,1,1,0,1,1
[2] http://ec.europa.eu/eurostat/ramon/ontologies/geographic.rdf#hasParentRegion,1974,-,-,-,486,1974,1974,1974,0,0,0,0,0,1974,0,1974
[3] http://ec.europa.eu/eurostat/ramon/ontologies/geographic.rdf#hasSubRegion,1974,-,-,-,-,520,520,520,0,0,0,0,0,520,0,520
[4] http://ec.europa.eu/eurostat/ramon/ontologies/geographic.rdf#level,2008,-,-,-,-,-,2008,2008,0,0,0,0,0,2008,0,2008
[5] http://ec.europa.eu/eurostat/ramon/ontologies/geographic.rdf#name,2008,-,-,-,-,-,-,2008,0,0,0,0,0,2008,0,2008
[6] http://ec.europa.eu/eurostat/ramon/ontologies/geographic.rdf#regionCode,2008,-,-,-,-,-,-,-,0,0,0,0,0,2008,0,2008
[7] http://purl.org/dc/terms/date,1,-,-,-,-,-,-,-,-,1,1,1,1,0,1,1
[8] http://purl.org/dc/terms/source,1,-,-,-,-,-,-,-,-,-,1,1,1,0,1,1
[9] http://purl.org/dc/terms/subject,1,-,-,-,-,-,-,-,-,-,-,1,1,0,1,1
[10] http://purl.org/dc/terms/title,1,-,-,-,-,-,-,-,-,-,-,-,1,0,1,1
[11] http://purl.org/dc/terms/valid,1,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1
[12] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,2008,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2008
[13] http://www.w3.org/2000/01/rdf-schema#comment,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
[14] http://www.w3.org/2000/01/rdf-schema#label,2009,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
